Issue ID,Parent ID,Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Story Points,Original Estimate (h),Component,Milestone,Labels
EPIC-A,,Epic,A — Foundation & tenancy,"Auth, workspaces, spaces, folders and the application-layer scoping that isolates every tenant.",Foundation & tenancy,,,31,145,,,epic
A1,EPIC-A,Story,"As a new user, I can sign up and create a workspace so I have somewhere to put documents.",Email plus magic-link auth. Creating a workspace makes the creator its admin.,,EPIC-A,Highest,5,28,,M0 Foundation,"p0,m0"
A1-T1,A1,Sub-task,Sanctum SPA session auth plus signed-URL magic links,,,,Highest,,10,Backend,M0 Foundation,backend
A1-T2,A1,Sub-task,Build sign in / sign up screen (S1),,,,Highest,,8,Frontend,M0 Foundation,frontend
A1-T3,A1,Sub-task,Workspace creation flow with slug validation (S2),,,,Highest,,6,Full stack,M0 Foundation,full-stack
A1-T4,A1,Sub-task,Users table and workspace membership model,,,,Highest,,4,Database,M0 Foundation,database
A2,EPIC-A,Story,"As an admin, I can invite teammates by email with a role so they can join the workspace.",Invite by email with a role assigned at invite time.,,EPIC-A,Highest,5,20,,M0 Foundation,"p0,m0"
A2-T1,A2,Sub-task,Invite API with signed token and email delivery,,,,Highest,,8,Backend,M0 Foundation,backend
A2-T2,A2,Sub-task,Invite and accept screens (S3),,,,Highest,,8,Frontend,M0 Foundation,frontend
A2-T3,A2,Sub-task,Role assignment on invite acceptance,,,,Highest,,4,Backend,M0 Foundation,backend
A3,EPIC-A,Story,"As a developer, every tenant table is workspace-scoped by default so no query can cross a workspace boundary.","Release blocker. MySQL has no row-level security, so the boundary is application-layer: a missed scope leaks rather than returning nothing.",,EPIC-A,Highest,13,60,,M0 Foundation,"p0,m0"
A3-T1,A3,Sub-task,Build TenantModel base class with mandatory workspace global scope,,,,Highest,,10,Backend,M0 Foundation,backend
A3-T2,A3,Sub-task,"Auto-set workspace_id on create from request context, never from payload",,,,Highest,,5,Backend,M0 Foundation,backend
A3-T3,A3,Sub-task,Laravel Policies for space-level access,,,,Highest,,10,Backend,M0 Foundation,backend
A3-T4,A3,Sub-task,"Schema conformance test: every tenant table scoped, indexed, non-fillable",,,,Highest,,12,QA,M0 Foundation,qa
A3-T5,A3,Sub-task,Static analysis rule blocking raw unscoped queries,,,,Highest,,6,Infra,M0 Foundation,infra
A3-T6,A3,Sub-task,Cross-tenant and cross-table consistency test suite,,,,Highest,,14,QA,M0 Foundation,qa
A3-T7,A3,Sub-task,Wire all gates into CI as blocking,,,,Highest,,3,Infra,M0 Foundation,infra
A4,EPIC-A,Story,"As an admin, I can create spaces and folders so documentation matches how the company is organised.","Workspace to space to folder, max depth 5.",,EPIC-A,Highest,5,23,,M0 Foundation,"p0,m0"
A4-T1,A4,Sub-task,Schema and migrations for spaces and folders,,,,Highest,,5,Database,M0 Foundation,database
A4-T2,A4,Sub-task,Folder CRUD API including move with depth check,,,,Highest,,8,Backend,M0 Foundation,backend
A4-T3,A4,Sub-task,"Sidebar tree and space browser (S5, S6)",,,,Highest,,10,Frontend,M0 Foundation,frontend
A5,EPIC-A,Story,"As a user, I see only the spaces I'm a member of, everywhere in the product.",No greyed-out items hinting at content behind a permission wall.,,EPIC-A,Highest,3,14,,M0 Foundation,"p0,m0"
A5-T1,A5,Sub-task,Scope sidebar and browser to accessible spaces,,,,Highest,,5,Frontend,M0 Foundation,frontend
A5-T2,A5,Sub-task,Return 403 not 404 so existence is never leaked,,,,Highest,,5,Backend,M0 Foundation,backend
A5-T3,A5,Sub-task,Permission visibility tests across surfaces,,,,Highest,,4,QA,M0 Foundation,qa
EPIC-B,,Epic,B — Editor & document model,"The block editor, the structured SOP model, templates and paste fidelity.",Editor & document model,,,40,163,,,epic
B1,EPIC-B,Story,"As an editor, I can write a document with headings, lists, tables, callouts and images.","Content stored as structured JSON, never HTML, so diffing and chunking stay reliable.",,EPIC-B,Highest,13,64,,M0 Foundation,"p0,m0"
B1-T1,B1,Sub-task,Editor foundation and structured JSON document model,,,,Highest,,20,Frontend,M0 Foundation,frontend
